scorer	query_id	doc_id	rank
BM25	966508	7883072	1
BM25	990096	3732877	1
BM25	991868	7831918	1
BM25	8091	_	NA
BM25	17793	7982849	5
BM25	203797	3214696	1
BM25	929418	_	NA
BM25	1092526	_	NA
BM25	1085081	_	NA
BM25	1084897	_	NA
BM25	1036531	_	NA
BM25	1035181	_	NA
BM25	1031667	_	NA
BM25	1034366	7855485	1
BM25	1041037	5148837	7
BM25	462192	_	NA
BM25	986945	7292156	1
BM25	1054954	_	NA
BM25	1089905	_	NA
BM25	1087941	_	NA
BM25	1092198	7850006	10
BM25	854792	709924	1
BM25	882470	1694563	10
BM25	860368	4187199	8
BM25	869506	_	NA
BM25	900860	_	NA
BM25	843030	867960	5
BM25	58036	_	NA
BM25	152494	8176515	1
BM25	809132	8724506	6
BM25	31688	1295538	2
BM25	276638	4942137	8
BM25	91460	_	NA
BM25	672334	_	NA
BM25	1095024	4003617	2
BM25	335770	7622182	2
BM25	474720	_	NA
BM25	806533	4950682	1
BM25	1092163	_	NA
BM25	337413	3666807	1
BM25	346526	7540015	5
BM25	356719	8008908	2
BM25	1088547	_	NA
BM25	1087249	7103385	4
BM25	1090126	_	NA
BM25	1090138	_	NA
BM25	1086579	5728338	1
BM25	1087704	8039511	1
BM25	364095	5751420	2
BM25	227814	8279403	4
ANCE	966508	6782050	3
ANCE	990096	3732877	1
ANCE	991868	7831918	1
ANCE	8091	_	NA
ANCE	17793	7982849	5
ANCE	203797	3214696	1
ANCE	929418	_	NA
ANCE	1092526	_	NA
ANCE	1085081	_	NA
ANCE	1084897	5471621	8
ANCE	1036531	_	NA
ANCE	1035181	_	NA
ANCE	1031667	_	NA
ANCE	1034366	7855485	1
ANCE	1041037	140279	1
ANCE	462192	_	NA
ANCE	986945	7292156	1
ANCE	1054954	_	NA
ANCE	1089905	_	NA
ANCE	1087941	_	NA
ANCE	1092198	7850006	10
ANCE	854792	709924	1
ANCE	882470	1694563	10
ANCE	860368	4187199	8
ANCE	869506	_	NA
ANCE	900860	_	NA
ANCE	843030	867960	5
ANCE	58036	_	NA
ANCE	152494	8176515	1
ANCE	809132	8724506	6
ANCE	31688	6308821	3
ANCE	276638	4942137	8
ANCE	91460	_	NA
ANCE	672334	_	NA
ANCE	1095024	4003617	2
ANCE	335770	_	NA
ANCE	474720	_	NA
ANCE	806533	6277527	3
ANCE	1092163	_	NA
ANCE	337413	3666807	1
ANCE	346526	7540015	5
ANCE	356719	8008908	2
ANCE	1088547	_	NA
ANCE	1087249	7103385	4
ANCE	1090126	_	NA
ANCE	1090138	_	NA
ANCE	1086579	5728338	1
ANCE	1087704	8039511	1
ANCE	364095	5751420	2
ANCE	227814	8279403	4
monoT5	966508	6782050	3
monoT5	990096	8632470	1
monoT5	991868	7831918	1
monoT5	8091	_	NA
monoT5	17793	2404236	1
monoT5	203797	3214696	3
monoT5	929418	347147	NA
monoT5	1092526	1030550	2
monoT5	1085081	_	NA
monoT5	1084897	5471621	5
monoT5	1036531	_	NA
monoT5	1035181	_	NA
monoT5	1031667	_	NA
monoT5	1034366	7855487	1
monoT5	1041037	5148842	1
monoT5	462192	_	NA
monoT5	986945	7292156	2
monoT5	1054954	_	NA
monoT5	1089905	3539670	3
monoT5	1087941	_	NA
monoT5	1092198	7850006	1
monoT5	854792	874054	1
monoT5	882470	7875483	2
monoT5	860368	4187199	1
monoT5	869506	_	NA
monoT5	900860	3594212	1
monoT5	843030	867960	1
monoT5	58036	_	NA
monoT5	152494	7410262	1
monoT5	809132	8724506	2
monoT5	31688	4329135	1
monoT5	276638	4942137	5
monoT5	91460	_	NA
monoT5	672334	4944295	9
monoT5	1095024	7622216	1
monoT5	335770	7622182	1
monoT5	474720	_	NA
monoT5	806533	6277527	1
monoT5	1092163	6669976	8
monoT5	337413	3666807	1
monoT5	346526	7983515	1
monoT5	356719	8008908	1
monoT5	1088547	_	NA
monoT5	1087249	7103385	1
monoT5	1090126	_	NA
monoT5	1090138	_	NA
monoT5	1086579	5909707	1
monoT5	1087704	5958026	1
monoT5	364095	8598780	1
monoT5	227814	2580649	3
ColBERT	966508	6782052	7
ColBERT	990096	5293740	1
ColBERT	991868	686187	8
ColBERT	8091	_	NA
ColBERT	17793	7982850	1
ColBERT	203797	3214696	1
ColBERT	929418	4362016	2
ColBERT	1092526	1030550	1
ColBERT	1085081	_	NA
ColBERT	1084897	_	NA
ColBERT	1036531	_	NA
ColBERT	1035181	_	NA
ColBERT	1031667	_	NA
ColBERT	1034366	7855485	1
ColBERT	1041037	5148842	3
ColBERT	462192	_	NA
ColBERT	986945	_	NA
ColBERT	1054954	_	NA
ColBERT	1089905	4516081	2
ColBERT	1087941	_	NA
ColBERT	1092198	7850006	1
ColBERT	854792	854792	1
ColBERT	882470	6224374	1
ColBERT	860368	4187199	1
ColBERT	869506	_	NA
ColBERT	900860	2410570	1
ColBERT	843030	867969	2
ColBERT	58036	_	NA
ColBERT	152494	4371226	1
ColBERT	809132	8724506	1
ColBERT	31688	3477908	1
ColBERT	276638	7487880	10
ColBERT	91460	_	NA
ColBERT	672334	_	NA
ColBERT	1095024	4003617	2
ColBERT	335770	7622182	10
ColBERT	474720	_	NA
ColBERT	806533	1704668	1
ColBERT	1092163	6082396	2
ColBERT	337413	7090832	1
ColBERT	346526	7983515	1
ColBERT	356719	8008908	1
ColBERT	1088547	_	NA
ColBERT	1087249	7103385	1
ColBERT	1090126	_	NA
ColBERT	1090138	_	NA
ColBERT	1086579	5909707	1
